product_id,category,product_title,brand,model,features,price,rating,review_count,image_url,inch
B0D83YDSGM,Laptops,"Samsung Galaxy Book3 (NP754) Intel Core i3 13th Gen 1315U 39.6cm (15.6-inch) FHD Thin & Light Laptop (8GB/512GB SSD/Windows 11 Pro (64bit)/Intel UHD Graphics/Silver/1.57 Kg), NP754XFG-KB3IN.",Samsung,samsung book3,"Brand: Samsung; Model Name: NP754XFG-KB3IN; Screen Size: 15.6 Inches; Colour: Silver; Hard Disk Size: 512 GB; CPU Model: Core i3; RAM Memory Installed Size: 8 GB; Operating System: Windows 11 Pro; Special Feature: Fingerprint Reader, Thin, Anti Glare Coating, Numeric Keypad; Graphics Card Description: Integrated",38990,3.7,6,https://m.media-amazon.com/images/I/71ohNusGIjL._AC_UY218_.jpg,15.6
B09V1DYYV6,Laptops,"Samsung Galaxy Book2 360 Intel 12th Gen i5 EvoTM 33.78cm (13.3"") AMOLED 2 in 1 touch screen Laptop (16 GB/512 GB SSD/Windows 11/MS Office/Backlit KB/Fingerprint Sensor/Graphite/1.16Kg), NP730QED-KA2IN",Samsung,samsung book2,"Brand: Samsung; Model Name: Galaxy Book2 360; Screen Size: 13.3 Inches; Colour: Graphite; CPU Model: Core i5; RAM Memory Installed Size: 16 GB; Operating System: Windows 11 Home; Special Feature: Fingerprint Reader, Backlit Keyboard, Anti Glare Coating; Graphics Card Description: Integrated; Graphics Coprocessor: Intel Iris Xe Graphics",79900,3.9,4,https://m.media-amazon.com/images/I/61gwIZ-CCBL._AC_UY218_.jpg,13.3
B0CX4Y81W8,Laptops,"Samsung Galaxy Book4 (Silver, 16GB RAM, 512GB SSD) | 15.6"" Full HD Screen | Intel Core 5 120U Processor | Windows 11 Home | MS Office 2021 | Fingerprint Reader | Intel Iris XE Graphics | RJ45 LAN Port",Samsung,samsung book4,"Brand: Samsung; Model Name: Samsung Galaxy Book4; Screen Size: 15.6 Inches; Colour: Silver; Hard Disk Size: 512 GB; CPU Model: Others; RAM Memory Installed Size: 16 GB; Operating System: Windows 11 Home; Special Feature: Fingerprint Reader, HD Audio, Memory Card Slot, Numeric Keypad; Graphics Card Description: Integrated",56590,4.0,63,https://m.media-amazon.com/images/I/71nXEDrIIUL._AC_UY218_.jpg,15.6
B0D73L9NRH,Laptops,"Samsung Galaxy Book4 (Gray, 8GB RAM, 512GB SSD) | 15.6"" Full HD Screen | Intel Core i3 | Windows 11 Pro",Samsung,samsung book4,"Brand: Samsung; Model Name: Samsung Galaxy Book4; Screen Size: 15.6 Inches; Colour: Gray; Hard Disk Size: 512 GB; CPU Model: Intel Core i5; RAM Memory Installed Size: 8 GB; Operating System: Windows 11 Pro; Special Feature: Fingerprint Reader, HD Audio, Memory Card Slot, Numeric Keypad; Graphics Card Description: Integrated",41999,3.9,4,https://m.media-amazon.com/images/I/41I4wqfp6KL._AC_UY218_.jpg,15.6
B0CVKZVN3S,Laptops,"Samsung Galaxy Book4 360 (Gray, 16GB RAM, 512GB SSD)| 15.6"" Super AMOLED Touchscreen| Intel Core 5 120U Processor| 2 in 1 Laptop| Windows 11 Home| MS Office 2021| Fingerprint Reader| S-Pen Included",Samsung,samsung book4,"Brand: Samsung; Model Name: Samsung Galaxy Book4 360; Screen Size: 15.6 Inches; Colour: Moonstone Gray; Hard Disk Size: 512 GB; CPU Model: Others; RAM Memory Installed Size: 16 GB; Operating System: Windows 11 Home; Special Feature: Fingerprint Reader, HD Audio, Backlit Keyboard, Support Stylus, Memory Card Slot; Graphics Card Description: Integrated",105998,3.9,5,https://m.media-amazon.com/images/I/71bVPbRopXL._AC_UY218_.jpg,15.6
B0CX58Y4W6,Laptops,"Samsung Galaxy Book4 (Gray, 16GB RAM, 512GB SSD) | 15.6"" Full HD Screen | Intel Core 7 150U Processor | Windows 11 Home | MS Office 2021 | Fingerprint Reader | Intel Iris XE Graphics | RJ45 LAN Port",Samsung,samsung book4,"Brand: Samsung; Model Name: Samsung Galaxy Book4; Screen Size: 15.6 Inches; Colour: Gray; Hard Disk Size: 512 GB; CPU Model: Others; RAM Memory Installed Size: 16 GB; Operating System: Windows 11 Home; Special Feature: Fingerprint Reader, HD Audio, Memory Card Slot, Numeric Keypad; Graphics Card Description: Integrated",71990,3.7,15,https://m.media-amazon.com/images/I/71KMP-d7kiL._AC_UY218_.jpg,15.6
B0BSH3JFP2,Laptops,"Samsung Galaxy Book3 Pro Intel 13th Gen i5 EvoTM 35.56cm(14"") Dynamic Amoled 2X, 3K Display, 120Hz, Ultra Thin & Light Laptop(16 GB/512 GB SSD/Windows 11/MS Office/Graphite/1.17Kg), NP940XFG-KC1IN",Samsung,samsung book3,Brand: Samsung; Model Name: Galaxy Book3 Pro; Screen Size: 35.56 Centimetres; Colour: Graphite; Hard Disk Size: 512 GB; CPU Model: Others; RAM Memory Installed Size: 16 GB; Operating System: Windows 11 Home; Special Feature: Fingerprint Reader; Graphics Card Description: Integrated,99000,3.6,8,https://m.media-amazon.com/images/I/71B0Gu0Iz1L._AC_UY218_.jpg,14.0
B0BVW6R9CH,Laptops,"Samsung Galaxy Book3 Core i5 13th Gen 1335U - (8 GB/512 GB SSD/Windows 11 Home) Galaxy Book3 Thin and Light Laptop (15.6 Inch, Silver, 1.58 Kg, with MS Office)",Samsung,samsung book3,Brand: Samsung; Model Name: Galaxy Book3; Screen Size: 39.62 Centimetres; Colour: Silver; Hard Disk Size: 512 GB; CPU Model: Core i5; RAM Memory Installed Size: 8 GB; Operating System: Windows 11 Home; Special Feature: Fingerprint Reader; Graphics Card Description: Integrated,58490,4.0,21,https://m.media-amazon.com/images/I/81NFEnJDJ6L._AC_UY218_.jpg,15.6
B09V1G8BQ6,Laptops,"Samsung Galaxy Book2 Pro Intel 12th Gen i7 EvoTM 33.78cm (13.3"") AMOLED Thin & Light Laptop (16 GB/512 GB SSD/Windows 11/MS Office/Backlit KB/Fingerprint Sensor/Silver/0.87Kg), NP930XED-KB2IN",Samsung,samsung book2,"Brand: Samsung; Model Name: Galaxy Book2 Pro; Screen Size: 13.3 Inches; Colour: Silver; CPU Model: Core i7; RAM Memory Installed Size: 16 GB; Operating System: Windows 11 Home; Special Feature: Fingerprint Reader, Backlit Keyboard, Anti Glare Coating; Graphics Card Description: Integrated; Graphics Coprocessor: Intel Iris Xe Graphics",95999,3.3,28,https://m.media-amazon.com/images/I/81OQByV6ovL._AC_UY218_.jpg,13.3
B09V1F446C,Laptops,"Samsung Galaxy Book2 Pro 360 Intel 12th Gen i5 EvoTM 33.78 cm (13.3"") Touchscreen 2-in-1 AMOLED Thin & Light Laptop (16 GB/512 GB SSD/Windows 11/MS Office/with S Pen/Silver/1.04Kg), NP930QED-KB3IN",Samsung,samsung book2,"Brand: Samsung; Model Name: Galaxy Book2 Pro 360; Screen Size: 13.3 Inches; Colour: Silver; Hard Disk Size: 512 GB; CPU Model: Core i5; RAM Memory Installed Size: 16 GB; Operating System: Windows 11 Home; Special Feature: Fingerprint Reader, Backlit Keyboard, Anti Glare Coating; Graphics Card Description: Integrated",85990,2.2,7,https://m.media-amazon.com/images/I/81aAFpuI1UL._AC_UY218_.jpg,13.3
B0B3PSWHKJ,Laptops,"(Refurbished) Samsung Galaxy Book2 Intel 12th Gen core i5 39.6cm (15.6"") FHD LED Thin & Light Laptop (8",Samsung,samsung book2,"Brand: Samsung; Model Name: Galaxy Book2; Screen Size: 15.6 Inches; Colour: Silver; Hard Disk Size: 512 GB; CPU Model: Core i5; RAM Memory Installed Size: 8 GB; Operating System: Windows 11 Home; Special Feature: 12th Gen Intel Core i5, Backlit Keyboard, Preinstalled Software (MS Office Home & Student 2021, Live Message, Wallpaper, McAfee Safe (Trial), Screen Recorder, Samsung Gallery, Flow, Notes, Recovery, Settings, Studio Plus, Update, Security, Quick Share, Galaxy Book Smart Switch) See more; Graphics Card Description: Integrated",48990,3.7,8,https://m.media-amazon.com/images/I/71Q6Zax0irL._AC_UY218_.jpg,15.6
B0CX4SFLRC,Laptops,"Samsung Galaxy Book4 (Silver, 8GB RAM, 512GB SSD) | 15.6"" Full HD Screen | Intel Core 5 120U Processor | Windows 11 Home | MS Office 2021 | Fingerprint Reader | Intel Iris XE Graphics | RJ45 LAN Port",Samsung,samsung book4,"Brand: Samsung; Model Name: Samsung Galaxy Book4; Screen Size: 15.6 Inches; Colour: Silver; Hard Disk Size: 512 GB; CPU Model: Others; RAM Memory Installed Size: 8 GB; Operating System: Windows 11 Home; Special Feature: Fingerprint Reader, HD Audio, Memory Card Slot, Numeric Keypad; Graphics Card Description: Integrated",54490,2.4,36,https://m.media-amazon.com/images/I/71nXEDrIIUL._AC_UY218_.jpg,15.6
